,Commenter_Name,DateTime,Comment
144,প্রতিবাদী মন,2022-10-11 18:07:28,সরকার তো শুধু রাজনৈতিক দলের পিছনে লেগে আছে দেশ ধ্বংস করে দিচ্ছে আমলা এবং সেন্ট্রিকেট মিলে সরকার কিভাবে দেশ পরিচালনা করবে বিরোধী দল দমন করতেই সময় শেষ
145,SHAKIL KHAN,2022-10-11 18:35:59,লাঠি ছাড়া কোন কথা নাই
146,Anwar Hossain,2022-10-11 18:43:05,শেষ সময় এমন কথা বলে নিজের পিঠের চামড় থাকবে
147,rasel md,2022-10-11 18:44:16,
148,Mamun Janey,2022-10-11 18:48:41,পুলিশ ছাড়া নেমে দেখ কতদূর যাইতে পার জণগণ এখন আর আওয়ামী লীগ কে চায় না
149,Anwarul Evan,2022-10-11 18:57:09,উস্কানি না দিয়ে সুন্দর করে সমাবেশ করে বাড়ি চলে যান রাজনৈতিক ফায়দা লুটার জন্য কোনো মায়ের বুক খালি করবেন না
150,Crying Clown,2022-10-11 19:03:30,
151,Halima Akther,2022-10-11 19:07:18,তোমার দাঁত টাই ভেঙে যাবে বি এন পি জিন্দাবাদ
152,Mr Leyakot,2022-10-11 19:14:14,আওয়ামী হিন্দু লীগ এবার ভারতে পালাবে
153,Sheikh Sumon,2022-10-11 19:35:07,
154,Shapon miah,2022-10-11 19:37:09,সমাবেশের নামে বিএনপি নাসকতা করলে আইন সৃংখলা বাহিনি আছে তাহলে আওয়ামী এত চুলকানী কেন
155,Sujon Islam,2022-10-11 19:37:29,আ লীগ নেতা একাই বলতেছে মিডিয়াকে আন্দোলন ঠেকাবে জয় বাংলা বলার মত একটিমাত্র লোক নাই নেতার পিছনে হাসি পাইছে একটু হাসি হা হা হাহহহহহহহ
156,Kabila Rokeya,2022-10-11 19:40:48,আজম নাছির তুমি হ লে তোতলা তোমার দাত নাই তুমি দাত বাঙা জবাব দিবা
157,MD bassa Bassa,2022-10-11 19:55:29,ঐ হবে সাবধান
158,Arafat Hossen,2022-10-11 20:01:11,গুন্ডালীগ
159,Md Jafar Hossain,2022-10-11 20:31:00,
160,Ezel Neel,2022-10-11 20:47:25,একবিন্দুও ছাড় দিতে হবে আওয়ামী লীগ কে আগামীকাল পুলিশসহ আসলেও ভরে দেবে বিএনপির তৃণমূলের কর্মীরাই বীর চট্টলা বিপ্লবী জনতা ও কর্মীরাই চামড়া তুলে দিতে প্রস্তুত
161,Hazrat Ali,2022-10-11 21:01:58,আওয়ামী লীগ মুর্দা বাদ
162,Imran Milon,2022-10-11 21:09:23,
163,Sahaidul Islam,2022-10-11 21:13:47,আয়ামিলিগ বাল ফালাবে
164,MR ARAFAT NOBODY,2022-10-11 21:18:47,
165,Sohel Mohammad,2022-10-11 21:27:03,
166,HALEMA Akhter,2022-10-11 21:48:29,বি এন পি হাতে লাঠী নিয়ে নামবেন
167,Knjjd Jjjd,2022-10-11 22:00:30,
168,Omor Faruk,2022-10-11 22:02:47,
169,PBN,2022-10-11 22:18:02,লীগ হঠাও বাংলাদেশ বাচাও
170,Jahangir Alam apna k onek do no bad.,2022-10-11 22:25:36,বিতর্ক নির্মান প্রতিষ্ঠান বি এন পি নেতাদের বক্তৃতায় প্রমানিত এরা বাক স্বাধীনতার দোহাই দিয়ে অপরাজনিতীর অপকৌশল অবলম্বন করছে এরা চায় দেশে একটা অরাজকতা সৃষ্টি করতে এটা পরিস্কার
171,Md. Sunny,2022-10-11 22:45:27,
172,SAILA RUNA,2022-10-11 22:49:24,আওয়ামী লীগ এর সাথে আর জনগণ নেই আছে শুধু পুলিশ লীগ আর সন্ত্রাসলীগ জনগণের পালস এখনো আওয়ামী লীগ বুঝতে পারেনি
173,md aslam,2022-10-11 22:59:11,
